geneID,Fst_p1_p2,Fst_p1_p3,Fst_p1_p4,Fst_p1_p5,Fst_p1_p6,Fst_p1_p7,Fst_p1_p8,Fst_p1_p9,Fst_p1_p10,Fst_p2_p3,Fst_p2_p4,Fst_p2_p5,Fst_p2_p6,Fst_p2_p7,Fst_p2_p8,Fst_p2_p9,Fst_p2_p10,Fst_p3_p4,Fst_p3_p5,Fst_p3_p6,Fst_p3_p7,Fst_p3_p8,Fst_p3_p9,Fst_p3_p10,Fst_p4_p5,Fst_p4_p6,Fst_p4_p7,Fst_p4_p8,Fst_p4_p9,Fst_p4_p10,Fst_p5_p6,Fst_p5_p7,Fst_p5_p8,Fst_p5_p9,Fst_p5_p10,Fst_p6_p7,Fst_p6_p8,Fst_p6_p9,Fst_p6_p10,Fst_p7_p8,Fst_p7_p9,Fst_p7_p10,Fst_p8_p9,Fst_p8_p10,Fst_p9_p10
32125,-0.0226,-0.0219,-0.0062,-0.0263,0.0265,-0.0219,0.0026,-0.0263,-0.0226,-0.0103,0.0137,-0.0226,0.0542,-0.0103,-0.0141,-0.0226,-0.0263,-0.0205,-0.0219,0.0022,-0.0263,0.0284,-0.0219,-0.0103,-0.0062,-0.0171,-0.0205,0.0656,-0.0062,0.0137,0.0265,-0.0219,0.0026,-0.0263,-0.0226,0.0022,0.118,0.0265,0.0542,0.0284,-0.0219,-0.0103,0.0026,-0.0141,-0.0226
32139,-0.0171,-0.0171,0.0542,-0.0171,-0.0171,0.0265,0.0022,0.0265,-0.0171,-0.0263,0.0137,-0.0263,-0.0263,-0.0062,-0.0205,-0.0062,-0.0263,0.0137,-0.0263,-0.0263,-0.0062,-0.0205,-0.0062,-0.0263,0.0137,0.0137,-0.0226,-0.0103,-0.0226,0.0137,-0.0263,-0.0062,-0.0205,-0.0062,-0.0263,-0.0062,-0.0205,-0.0062,-0.0263,-0.0219,-0.0263,-0.0062,-0.0219,-0.0205,-0.0062
32248,-0.0171,-0.0171,0.0542,-0.0171,-0.0171,0.0265,0.0022,0.0265,-0.0171,-0.0263,0.0137,-0.0263,-0.0263,-0.0062,-0.0205,-0.0062,-0.0263,0.0137,-0.0263,-0.0263,-0.0062,-0.0205,-0.0062,-0.0263,0.0137,0.0137,-0.0226,-0.0103,-0.0226,0.0137,-0.0263,-0.0062,-0.0205,-0.0062,-0.0263,-0.0062,-0.0205,-0.0062,-0.0263,-0.0219,-0.0263,-0.0062,-0.0219,-0.0205,-0.0062
32317,-0.0231,-0.0263,0.067,-0.0263,-0.0263,-0.0126,-0.0231,-0.0263,0.0068,-0.0231,0.1023,-0.0231,-0.0231,-0.0226,-0.0263,-0.0231,-0.0103,0.067,-0.0263,-0.0263,-0.0126,-0.0231,-0.0263,0.0068,0.067,0.067,0.1447,0.1023,0.067,0.1954,-0.0263,-0.0126,-0.0231,-0.0263,0.0068,-0.0126,-0.0231,-0.0263,0.0068,-0.0226,-0.0126,-0.0219,-0.0231,-0.0103,0.0068
32352,-0.0231,-0.0263,0.067,-0.0263,-0.0263,-0.0126,-0.0231,-0.0263,0.0068,-0.0231,0.1023,-0.0231,-0.0231,-0.0226,-0.0263,-0.0231,-0.0103,0.067,-0.0263,-0.0263,-0.0126,-0.0231,-0.0263,0.0068,0.067,0.067,0.1447,0.1023,0.067,0.1954,-0.0263,-0.0126,-0.0231,-0.0263,0.0068,-0.0126,-0.0231,-0.0263,0.0068,-0.0226,-0.0126,-0.0219,-0.0231,-0.0103,0.0068
32367,-0.0263,-0.0205,0.0022,-0.0205,0.0022,0.0022,-0.0219,-0.0205,0.0022,-0.0205,0.0022,-0.0205,0.0022,0.0022,-0.0219,-0.0205,0.0022,-0.0171,-0.0263,-0.0171,-0.0171,-0.0062,-0.0263,-0.0171,-0.0171,-0.0263,-0.0263,0.0265,-0.0171,-0.0263,-0.0171,-0.0171,-0.0062,-0.0263,-0.0171,-0.0263,0.0265,-0.0171,-0.0263,0.0265,-0.0171,-0.0263,-0.0062,0.0265,-0.0171
32380,-0.0231,-0.0263,0.067,-0.0263,-0.0263,-0.0126,-0.0231,-0.0263,0.0068,-0.0231,0.1023,-0.0231,-0.0231,-0.0226,-0.0263,-0.0231,-0.0103,0.067,-0.0263,-0.0263,-0.0126,-0.0231,-0.0263,0.0068,0.067,0.067,0.1447,0.1023,0.067,0.1954,-0.0263,-0.0126,-0.0231,-0.0263,0.0068,-0.0126,-0.0231,-0.0263,0.0068,-0.0226,-0.0126,-0.0219,-0.0231,-0.0103,0.0068
32630,-0.0263,-0.0231,0.0393,-0.0263,-0.0263,-0.0126,-0.0231,-0.0263,0.0068,-0.0231,0.0393,-0.0263,-0.0263,-0.0126,-0.0231,-0.0263,0.0068,0.0699,-0.0231,-0.0231,-0.0226,-0.0263,-0.0231,-0.0103,0.0393,0.0393,0.1078,0.0699,0.0393,0.1541,-0.0263,-0.0126,-0.0231,-0.0263,0.0068,-0.0126,-0.0231,-0.0263,0.0068,-0.0226,-0.0126,-0.0219,-0.0231,-0.0103,0.0068
32682,-0.0126,0.0068,-0.0231,0.0848,-0.0231,0.0068,-0.0126,0.0848,-0.0231,-0.0219,-0.0226,0.0265,-0.0226,-0.0219,-0.0263,0.0265,-0.0226,-0.0103,0.0022,-0.0103,-0.0263,-0.0219,0.0022,-0.0103,0.0542,-0.0263,-0.0103,-0.0226,0.0542,-0.0263,0.0542,0.0022,0.0265,-0.0263,0.0542,-0.0103,-0.0226,0.0542,-0.0263,-0.0219,0.0022,-0.0103,0.0265,-0.0226,0.0542
32825,-0.0263,-0.0231,0.0393,-0.0263,-0.0263,-0.0126,-0.0231,-0.0263,0.0068,-0.0231,0.0393,-0.0263,-0.0263,-0.0126,-0.0231,-0.0263,0.0068,0.0699,-0.0231,-0.0231,-0.0226,-0.0263,-0.0231,-0.0103,0.0393,0.0393,0.1078,0.0699,0.0393,0.1541,-0.0263,-0.0126,-0.0231,-0.0263,0.0068,-0.0126,-0.0231,-0.0263,0.0068,-0.0226,-0.0126,-0.0219,-0.0231,-0.0103,0.0068
32839,0.0137,0.0542,-0.0226,0.0542,0.0137,nan,-0.0103,0.0542,0.0542,-0.0171,-0.0062,-0.0171,-0.0263,nan,-0.0205,-0.0171,-0.0171,0.0265,-0.0263,-0.0171,nan,0.0022,-0.0263,-0.0263,0.0265,-0.0062,nan,-0.0219,0.0265,0.0265,-0.0171,nan,0.0022,-0.0263,-0.0263,nan,-0.0205,-0.0171,-0.0171,nan,nan,nan,0.0022,0.0022,-0.0263
32880,0.0152,0.0393,-0.0156,0.0152,0.0152,0.1078,0.0393,0.0393,0.1541,-0.0234,0.0661,-0.0263,-0.0263,0.0026,-0.0234,-0.0234,0.0284,0.0997,-0.0234,-0.0234,-0.0126,-0.0263,-0.0263,0.0068,0.0661,0.0661,0.1863,0.0997,0.0997,0.241,-0.0263,0.0026,-0.0234,-0.0234,0.0284,0.0026,-0.0234,-0.0234,0.0284,-0.0126,-0.0126,-0.0219,-0.0263,0.0068,0.0068
32959,-0.0126,0.0026,-0.0219,0.0026,-0.0263,0.0468,0.0226,0.0026,0.0226,-0.0234,0.0068,-0.0234,-0.0126,-0.0017,-0.015,-0.0234,-0.015,0.0284,-0.0263,0.0026,-0.0156,-0.0236,-0.0263,-0.0236,0.0284,-0.0219,0.0836,0.0541,0.0284,0.0541,0.0026,-0.0156,-0.0236,-0.0263,-0.0236,0.0468,0.0226,0.0026,0.0226,-0.0237,-0.0156,-0.0237,-0.0236,-0.0263,-0.0236
33049,-0.0171,-0.0263,0.0265,-0.0171,-0.0171,0.0265,0.0022,0.0265,-0.0263,-0.0171,-0.0062,-0.0263,-0.0263,-0.0062,-0.0205,-0.0062,-0.0171,0.0265,-0.0171,-0.0171,0.0265,0.0022,0.0265,-0.0263,-0.0062,-0.0062,-0.0263,-0.0219,-0.0263,0.0265,-0.0263,-0.0062,-0.0205,-0.0062,-0.0171,-0.0062,-0.0205,-0.0062,-0.0171,-0.0219,-0.0263,0.0265,-0.0219,0.0022,0.0265
33201,-0.0103,-0.0263,-0.0205,-0.0263,0.0022,0.0022,-0.0103,-0.0205,-0.0263,-0.0103,0.0137,-0.0103,0.0542,0.0542,-0.0263,0.0137,-0.0103,-0.0205,-0.0263,0.0022,0.0022,-0.0103,-0.0205,-0.0263,-0.0205,-0.0171,-0.0171,0.0137,-0.0263,-0.0205,0.0022,0.0022,-0.0103,-0.0205,-0.0263,-0.0263,0.0542,-0.0171,0.0022,0.0542,-0.0171,0.0022,0.0137,-0.0103,-0.0205
33516,0.0147,-0.0032,-0.015,0.0147,0.0147,0.067,0.038,0.067,0.1023,-0.0237,0.067,-0.0263,-0.0263,-0.015,-0.0236,-0.015,0,0.0393,-0.0237,-0.0237,-0.0017,-0.0156,-0.0017,0.0188,0.067,0.067,0.1379,0.0997,0.1379,0.182,-0.0263,-0.015,-0.0236,-0.015,0,-0.015,-0.0236,-0.015,0,-0.0234,-0.0263,-0.0231,-0.0234,-0.0141,-0.0231
33633,-0.0231,-0.0263,0.0378,-0.015,-0.0263,-0.0234,-0.0234,-0.0234,-0.0263,-0.0231,0.0137,0,-0.0231,-0.0141,-0.0141,-0.0141,-0.0231,0.0378,-0.015,-0.0263,-0.0234,-0.0234,-0.0234,-0.0263,0.0968,0.0378,0.0656,0.0656,0.0656,0.0378,-0.015,-0.0236,-0.0236,-0.0236,-0.015,-0.0234,-0.0234,-0.0234,-0.0263,-0.0263,-0.0263,-0.0234,-0.0263,-0.0234,-0.0234
33755,-0.0231,-0.0263,0.0378,-0.0234,-0.0263,-0.0234,-0.0234,-0.0263,-0.0263,-0.0231,0.0137,-0.0141,-0.0231,-0.0141,-0.0141,-0.0231,-0.0231,0.0378,-0.0234,-0.0263,-0.0234,-0.0234,-0.0263,-0.0263,0.0656,0.0378,0.0656,0.0656,0.0378,0.0378,-0.0234,-0.0263,-0.0263,-0.0234,-0.0234,-0.0234,-0.0234,-0.0263,-0.0263,-0.0263,-0.0234,-0.0234,-0.0234,-0.0234,-0.0263
33847,-0.0231,-0.0263,0.0378,-0.0234,-0.0263,-0.0234,-0.0234,-0.0263,-0.0263,-0.0231,0.0137,-0.0141,-0.0231,-0.0141,-0.0141,-0.0231,-0.0231,0.0378,-0.0234,-0.0263,-0.0234,-0.0234,-0.0263,-0.0263,0.0656,0.0378,0.0656,0.0656,0.0378,0.0378,-0.0234,-0.0263,-0.0263,-0.0234,-0.0234,-0.0234,-0.0234,-0.0263,-0.0263,-0.0263,-0.0234,-0.0234,-0.0234,-0.0234,-0.0263
33914,0.0147,-0.0159,-0.015,-0.0032,0.0147,0.067,0.038,0.038,0.1023,-0.0159,0.067,-0.0237,-0.0263,-0.015,-0.0236,-0.0236,0,0.0164,-0.0237,-0.0159,0.0164,-0.0027,-0.0027,0.0421,0.0393,0.067,0.1379,0.0997,0.0997,0.182,-0.0237,-0.0017,-0.0156,-0.0156,0.0188,-0.015,-0.0236,-0.0236,0,-0.0234,-0.0234,-0.0231,-0.0263,-0.0141,-0.0141
34233,0.0022,-0.0171,-0.0263,nan,0.0022,-0.0171,0.0022,-0.0263,0.0542,-0.0205,0.0022,nan,-0.0263,-0.0205,-0.0263,0.0022,-0.0103,-0.0171,nan,-0.0205,-0.0263,-0.0205,-0.0171,0.0137,nan,0.0022,-0.0171,0.0022,-0.0263,0.0542,nan,nan,nan,nan,nan,-0.0205,-0.0263,0.0022,-0.0103,-0.0205,-0.0171,0.0137,0.0022,-0.0103,0.0542
